"Geslacht";"Leeftijd";"Vervoerwijzen";"Reismotieven";"Marges";"Perioden";"Ritten per persoon per dag (gemiddeld) (aantal)";"Afgelegde afstand per rit (gemiddeld) (km)"
"Totaal mannen en vrouwen";"Totaal";"Overige vervoerwijze";"Totaal";"Waarde";"2009*";0,08;12,53
"Totaal mannen en vrouwen";"Totaal";"Overige vervoerwijze";"Totaal";"Waarde";"2010*";0,08;12,57
"Totaal mannen en vrouwen";"Totaal";"Overige vervoerwijze";"Totaal";"Waarde";"2011*";0,08;13,57
"Totaal mannen en vrouwen";"Totaal";"Overige vervoerwijze";"Totaal";"Waarde";"2012*";0,07;13,42
"Totaal mannen en vrouwen";"Totaal";"Overige vervoerwijze";"Totaal";"Waarde";"2013*";0,07;13,16
"Totaal mannen en vrouwen";"Totaal";"Overige vervoerwijze";"Totaal";"Waarde";"2014*";0,08;13,29
"Totaal mannen en vrouwen";"Totaal";"Overige vervoerwijze";"Totaal";"Waarde";"2015*";0,07;13,79
"Totaal mannen en vrouwen";"Totaal";"Overige vervoerwijze";"Totaal";"Waarde";"2016*";0,07;12,68
"Totaal mannen en vrouwen";"Totaal";"Overige vervoerwijze";"Totaal";"Waarde";"2017*";0,07;12,93
"Totaal mannen en vrouwen";"Totaal";"Overige vervoerwijze";"Totaal";"Waarde";"2018*";0,07;13,23
"Totaal mannen en vrouwen";"Totaal";"Overige vervoerwijze";"Totaal";"Waarde";"2019*";0,07;13,14
"Totaal mannen en vrouwen";"Totaal";"Overige vervoerwijze";"Totaal";"Waarde";"2020*";0,06;9,88
"Totaal mannen en vrouwen";"Totaal";"Overige vervoerwijze";"Van en naar het werk";"Waarde";"1999*";0,03;13,86
"Totaal mannen en vrouwen";"Totaal";"Overige vervoerwijze";"Van en naar het werk";"Waarde";"2000*";0,03;13,6
"Totaal mannen en vrouwen";"Totaal";"Overige vervoerwijze";"Van en naar het werk";"Waarde";"2001*";0,02;13,95
"Totaal mannen en vrouwen";"Totaal";"Overige vervoerwijze";"Van en naar het werk";"Waarde";"2002*";0,02;13,75
"Totaal mannen en vrouwen";"Totaal";"Overige vervoerwijze";"Van en naar het werk";"Waarde";"2003*";0,02;14,55
"Totaal mannen en vrouwen";"Totaal";"Overige vervoerwijze";"Van en naar het werk";"Waarde";"2004*";0,02;14,18
"Totaal mannen en vrouwen";"Totaal";"Overige vervoerwijze";"Van en naar het werk";"Waarde";"2005*";0,02;15,72
"Totaal mannen en vrouwen";"Totaal";"Overige vervoerwijze";"Van en naar het werk";"Waarde";"2006*";0,02;16,08
"Totaal mannen en vrouwen";"Totaal";"Overige vervoerwijze";"Van en naar het werk";"Waarde";"2007*";0,02;16,14
"Totaal mannen en vrouwen";"Totaal";"Overige vervoerwijze";"Van en naar het werk";"Waarde";"2008*";0,02;15
"Totaal mannen en vrouwen";"Totaal";"Overige vervoerwijze";"Van en naar het werk";"Waarde";"2009*";0,02;14,54
"Totaal mannen en vrouwen";"Totaal";"Overige vervoerwijze";"Van en naar het werk";"Waarde";"2010*";0,02;15,64
"Totaal mannen en vrouwen";"Totaal";"Overige vervoerwijze";"Van en naar het werk";"Waarde";"2011*";0,02;15,95
"Totaal mannen en vrouwen";"Totaal";"Overige vervoerwijze";"Van en naar het werk";"Waarde";"2012*";0,02;15,11
"Totaal mannen en vrouwen";"Totaal";"Overige vervoerwijze";"Van en naar het werk";"Waarde";"2013*";0,02;16,18
"Totaal mannen en vrouwen";"Totaal";"Overige vervoerwijze";"Van en naar het werk";"Waarde";"2014*";0,02;16,64
"Totaal mannen en vrouwen";"Totaal";"Overige vervoerwijze";"Van en naar het werk";"Waarde";"2015*";0,02;16,58
"Totaal mannen en vrouwen";"Totaal";"Overige vervoerwijze";"Van en naar het werk";"Waarde";"2016*";0,02;15,93
"Totaal mannen en vrouwen";"Totaal";"Overige vervoerwijze";"Van en naar het werk";"Waarde";"2017*";0,02;17,6
"Totaal mannen en vrouwen";"Totaal";"Overige vervoerwijze";"Van en naar het werk";"Waarde";"2018*";0,02;17,66
"Totaal mannen en vrouwen";"Totaal";"Overige vervoerwijze";"Van en naar het werk";"Waarde";"2019*";0,02;16,92
"Totaal mannen en vrouwen";"Totaal";"Overige vervoerwijze";"Van en naar het werk";"Waarde";"2020*";0,01;12,39
"Totaal mannen en vrouwen";"Totaal";"Overige vervoerwijze";"Winkelen, boodschappen doen";"Waarde";"1999*";0,01;4,63
"Totaal mannen en vrouwen";"Totaal";"Overige vervoerwijze";"Winkelen, boodschappen doen";"Waarde";"2000*";0,01;4,72
"Totaal mannen en vrouwen";"Totaal";"Overige vervoerwijze";"Winkelen, boodschappen doen";"Waarde";"2001*";0,01;4,36
"Totaal mannen en vrouwen";"Totaal";"Overige vervoerwijze";"Winkelen, boodschappen doen";"Waarde";"2002*";0,01;4,04
"Totaal mannen en vrouwen";"Totaal";"Overige vervoerwijze";"Winkelen, boodschappen doen";"Waarde";"2003*";0,01;4,31
"Totaal mannen en vrouwen";"Totaal";"Overige vervoerwijze";"Winkelen, boodschappen doen";"Waarde";"2004*";0,01;4,09
"Totaal mannen en vrouwen";"Totaal";"Overige vervoerwijze";"Winkelen, boodschappen doen";"Waarde";"2005*";0,01;3,89
"Totaal mannen en vrouwen";"Totaal";"Overige vervoerwijze";"Winkelen, boodschappen doen";"Waarde";"2006*";0,01;3,83
"Totaal mannen en vrouwen";"Totaal";"Overige vervoerwijze";"Winkelen, boodschappen doen";"Waarde";"2007*";0,01;3,94
"Totaal mannen en vrouwen";"Totaal";"Overige vervoerwijze";"Winkelen, boodschappen doen";"Waarde";"2008*";0,01;3,3
"Totaal mannen en vrouwen";"Totaal";"Overige vervoerwijze";"Winkelen, boodschappen doen";"Waarde";"2009*";0,01;3,63
"Totaal mannen en vrouwen";"Totaal";"Overige vervoerwijze";"Winkelen, boodschappen doen";"Waarde";"2010*";0,01;3,92
"Totaal mannen en vrouwen";"Totaal";"Overige vervoerwijze";"Winkelen, boodschappen doen";"Waarde";"2011*";0,01;3,63
"Totaal mannen en vrouwen";"Totaal";"Overige vervoerwijze";"Winkelen, boodschappen doen";"Waarde";"2012*";0,01;3,5
"Totaal mannen en vrouwen";"Totaal";"Overige vervoerwijze";"Winkelen, boodschappen doen";"Waarde";"2013*";0,01;3,59
"Totaal mannen en vrouwen";"Totaal";"Overige vervoerwijze";"Winkelen, boodschappen doen";"Waarde";"2014*";0,01;3,52
"Totaal mannen en vrouwen";"Totaal";"Overige vervoerwijze";"Winkelen, boodschappen doen";"Waarde";"2015*";0,01;3,57
"Totaal mannen en vrouwen";"Totaal";"Overige vervoerwijze";"Winkelen, boodschappen doen";"Waarde";"2016*";0,01;3,1
"Totaal mannen en vrouwen";"Totaal";"Overige vervoerwijze";"Winkelen, boodschappen doen";"Waarde";"2017*";0,01;3,41
"Totaal mannen en vrouwen";"Totaal";"Overige vervoerwijze";"Winkelen, boodschappen doen";"Waarde";"2018*";0,01;3,4
"Totaal mannen en vrouwen";"Totaal";"Overige vervoerwijze";"Winkelen, boodschappen doen";"Waarde";"2019*";0,01;3,54
"Totaal mannen en vrouwen";"Totaal";"Overige vervoerwijze";"Winkelen, boodschappen doen";"Waarde";"2020*";0,01;2,7
"Totaal mannen en vrouwen";"Totaal";"Overige vervoerwijze";"Onderwijs volgen, cursus, kinderopvang";"Waarde";"1999*";0,01;11,07
"Totaal mannen en vrouwen";"Totaal";"Overige vervoerwijze";"Onderwijs volgen, cursus, kinderopvang";"Waarde";"2000*";0,01;11,55
"Totaal mannen en vrouwen";"Totaal";"Overige vervoerwijze";"Onderwijs volgen, cursus, kinderopvang";"Waarde";"2001*";0,01;11,98
"Totaal mannen en vrouwen";"Totaal";"Overige vervoerwijze";"Onderwijs volgen, cursus, kinderopvang";"Waarde";"2002*";0,01;12,01
"Totaal mannen en vrouwen";"Totaal";"Overige vervoerwijze";"Onderwijs volgen, cursus, kinderopvang";"Waarde";"2003*";0,01;13,07
"Totaal mannen en vrouwen";"Totaal";"Overige vervoerwijze";"Onderwijs volgen, cursus, kinderopvang";"Waarde";"2004*";0,01;12,36
"Totaal mannen en vrouwen";"Totaal";"Overige vervoerwijze";"Onderwijs volgen, cursus, kinderopvang";"Waarde";"2005*";0,01;12,96
"Totaal mannen en vrouwen";"Totaal";"Overige vervoerwijze";"Onderwijs volgen, cursus, kinderopvang";"Waarde";"2006*";0,01;13,45
"Totaal mannen en vrouwen";"Totaal";"Overige vervoerwijze";"Onderwijs volgen, cursus, kinderopvang";"Waarde";"2007*";0,01;13,88
"Totaal mannen en vrouwen";"Totaal";"Overige vervoerwijze";"Onderwijs volgen, cursus, kinderopvang";"Waarde";"2008*";0,01;13,37
"Totaal mannen en vrouwen";"Totaal";"Overige vervoerwijze";"Onderwijs volgen, cursus, kinderopvang";"Waarde";"2009*";0,01;12,71
"Totaal mannen en vrouwen";"Totaal";"Overige vervoerwijze";"Onderwijs volgen, cursus, kinderopvang";"Waarde";"2010*";0,01;12,67
"Totaal mannen en vrouwen";"Totaal";"Overige vervoerwijze";"Onderwijs volgen, cursus, kinderopvang";"Waarde";"2011*";0,01;13,33
"Totaal mannen en vrouwen";"Totaal";"Overige vervoerwijze";"Onderwijs volgen, cursus, kinderopvang";"Waarde";"2012*";0,01;12,87
"Totaal mannen en vrouwen";"Totaal";"Overige vervoerwijze";"Onderwijs volgen, cursus, kinderopvang";"Waarde";"2013*";0,01;13,01
"Totaal mannen en vrouwen";"Totaal";"Overige vervoerwijze";"Onderwijs volgen, cursus, kinderopvang";"Waarde";"2014*";0,01;14,42
"Totaal mannen en vrouwen";"Totaal";"Overige vervoerwijze";"Onderwijs volgen, cursus, kinderopvang";"Waarde";"2015*";0,01;13,8
"Totaal mannen en vrouwen";"Totaal";"Overige vervoerwijze";"Onderwijs volgen, cursus, kinderopvang";"Waarde";"2016*";0,01;13,63
"Totaal mannen en vrouwen";"Totaal";"Overige vervoerwijze";"Onderwijs volgen, cursus, kinderopvang";"Waarde";"2017*";0,01;13,91
"Totaal mannen en vrouwen";"Totaal";"Overige vervoerwijze";"Onderwijs volgen, cursus, kinderopvang";"Waarde";"2018*";0,01;12,64
"Totaal mannen en vrouwen";"Totaal";"Overige vervoerwijze";"Onderwijs volgen, cursus, kinderopvang";"Waarde";"2019*";0,01;12,87
"Totaal mannen en vrouwen";"Totaal";"Overige vervoerwijze";"Onderwijs volgen, cursus, kinderopvang";"Waarde";"2020*";0,01;9,93
"Totaal mannen en vrouwen";"Totaal";"Overige vervoerwijze";"Overige reismotieven";"Waarde";"1999*";0,04;14,99
"Totaal mannen en vrouwen";"Totaal";"Overige vervoerwijze";"Overige reismotieven";"Waarde";"2000*";0,04;14,73
"Totaal mannen en vrouwen";"Totaal";"Overige vervoerwijze";"Overige reismotieven";"Waarde";"2001*";0,04;14,59
"Totaal mannen en vrouwen";"Totaal";"Overige vervoerwijze";"Overige reismotieven";"Waarde";"2002*";0,04;14,52
"Totaal mannen en vrouwen";"Totaal";"Overige vervoerwijze";"Overige reismotieven";"Waarde";"2003*";0,04;15,6
"Totaal mannen en vrouwen";"Totaal";"Overige vervoerwijze";"Overige reismotieven";"Waarde";"2004*";0,04;14,5
"Totaal mannen en vrouwen";"Totaal";"Overige vervoerwijze";"Overige reismotieven";"Waarde";"2005*";0,04;16,02
"Totaal mannen en vrouwen";"Totaal";"Overige vervoerwijze";"Overige reismotieven";"Waarde";"2006*";0,04;16,26
"Totaal mannen en vrouwen";"Totaal";"Overige vervoerwijze";"Overige reismotieven";"Waarde";"2007*";0,04;14,96
"Totaal mannen en vrouwen";"Totaal";"Overige vervoerwijze";"Overige reismotieven";"Waarde";"2008*";0,04;14,64
"Totaal mannen en vrouwen";"Totaal";"Overige vervoerwijze";"Overige reismotieven";"Waarde";"2009*";0,04;13,51
"Totaal mannen en vrouwen";"Totaal";"Overige vervoerwijze";"Overige reismotieven";"Waarde";"2010*";0,04;12,96
"Totaal mannen en vrouwen";"Totaal";"Overige vervoerwijze";"Overige reismotieven";"Waarde";"2011*";0,04;15,06
"Totaal mannen en vrouwen";"Totaal";"Overige vervoerwijze";"Overige reismotieven";"Waarde";"2012*";0,03;15,43
"Totaal mannen en vrouwen";"Totaal";"Overige vervoerwijze";"Overige reismotieven";"Waarde";"2013*";0,03;14,14
"Totaal mannen en vrouwen";"Totaal";"Overige vervoerwijze";"Overige reismotieven";"Waarde";"2014*";0,04;14
"Totaal mannen en vrouwen";"Totaal";"Overige vervoerwijze";"Overige reismotieven";"Waarde";"2015*";0,03;15,32
"Totaal mannen en vrouwen";"Totaal";"Overige vervoerwijze";"Overige reismotieven";"Waarde";"2016*";0,03;13,5
"Totaal mannen en vrouwen";"Totaal";"Overige vervoerwijze";"Overige reismotieven";"Waarde";"2017*";0,03;12,95
"Totaal mannen en vrouwen";"Totaal";"Overige vervoerwijze";"Overige reismotieven";"Waarde";"2018*";0,03;13,86
"Totaal mannen en vrouwen";"Totaal";"Overige vervoerwijze";"Overige reismotieven";"Waarde";"2019*";0,03;14
"Totaal mannen en vrouwen";"Totaal";"Overige vervoerwijze";"Overige reismotieven";"Waarde";"2020*";0,03;11,06
"Totaal mannen en vrouwen";"18 tot 25 jaar";"Totaal";"Totaal";"Waarde";"1999*";3,91;10,6
"Totaal mannen en vrouwen";"18 tot 25 jaar";"Totaal";"Totaal";"Waarde";"2000*";3,82;10,7
"Totaal mannen en vrouwen";"18 tot 25 jaar";"Totaal";"Totaal";"Waarde";"2001*";3,77;10,74
"Totaal mannen en vrouwen";"18 tot 25 jaar";"Totaal";"Totaal";"Waarde";"2002*";3,76;10,75
"Totaal mannen en vrouwen";"18 tot 25 jaar";"Totaal";"Totaal";"Waarde";"2003*";3,77;10,76
"Totaal mannen en vrouwen";"18 tot 25 jaar";"Totaal";"Totaal";"Waarde";"2004*";3,8;10,68
"Totaal mannen en vrouwen";"18 tot 25 jaar";"Totaal";"Totaal";"Waarde";"2005*";3,74;10,6
"Totaal mannen en vrouwen";"18 tot 25 jaar";"Totaal";"Totaal";"Waarde";"2006*";3,77;10,5
"Totaal mannen en vrouwen";"18 tot 25 jaar";"Totaal";"Totaal";"Waarde";"2007*";3,7;10,57
"Totaal mannen en vrouwen";"18 tot 25 jaar";"Totaal";"Totaal";"Waarde";"2008*";3,68;10,44
"Totaal mannen en vrouwen";"18 tot 25 jaar";"Totaal";"Totaal";"Waarde";"2009*";3,71;10,43
"Totaal mannen en vrouwen";"18 tot 25 jaar";"Totaal";"Totaal";"Waarde";"2010*";3,74;10,3
"Totaal mannen en vrouwen";"18 tot 25 jaar";"Totaal";"Totaal";"Waarde";"2011*";3,63;10,48
"Totaal mannen en vrouwen";"18 tot 25 jaar";"Totaal";"Totaal";"Waarde";"2012*";3,62;10,49
"Totaal mannen en vrouwen";"18 tot 25 jaar";"Totaal";"Totaal";"Waarde";"2013*";3,64;10,46
"Totaal mannen en vrouwen";"18 tot 25 jaar";"Totaal";"Totaal";"Waarde";"2014*";3,64;10,46
"Totaal mannen en vrouwen";"18 tot 25 jaar";"Totaal";"Totaal";"Waarde";"2015*";3,53;10,52
"Totaal mannen en vrouwen";"18 tot 25 jaar";"Totaal";"Totaal";"Waarde";"2016*";3,49;10,48
"Totaal mannen en vrouwen";"18 tot 25 jaar";"Totaal";"Totaal";"Waarde";"2017*";3,44;10,5
"Totaal mannen en vrouwen";"18 tot 25 jaar";"Totaal";"Totaal";"Waarde";"2018*";3,48;10,41
"Totaal mannen en vrouwen";"18 tot 25 jaar";"Totaal";"Totaal";"Waarde";"2019*";3,39;10,41
"Totaal mannen en vrouwen";"18 tot 25 jaar";"Totaal";"Totaal";"Waarde";"2020*";2,57;9,07
"Totaal mannen en vrouwen";"18 tot 25 jaar";"Totaal";"Van en naar het werk";"Waarde";"1999*";0,89;11,59
"Totaal mannen en vrouwen";"18 tot 25 jaar";"Totaal";"Van en naar het werk";"Waarde";"2000*";0,89;11,64
"Totaal mannen en vrouwen";"18 tot 25 jaar";"Totaal";"Van en naar het werk";"Waarde";"2001*";0,89;11,66
"Totaal mannen en vrouwen";"18 tot 25 jaar";"Totaal";"Van en naar het werk";"Waarde";"2002*";0,87;11,62
"Totaal mannen en vrouwen";"18 tot 25 jaar";"Totaal";"Van en naar het werk";"Waarde";"2003*";0,86;11,6
"Totaal mannen en vrouwen";"18 tot 25 jaar";"Totaal";"Van en naar het werk";"Waarde";"2004*";0,87;11,35
"Totaal mannen en vrouwen";"18 tot 25 jaar";"Totaal";"Van en naar het werk";"Waarde";"2005*";0,84;11,33
"Totaal mannen en vrouwen";"18 tot 25 jaar";"Totaal";"Van en naar het werk";"Waarde";"2006*";0,84;11,31
"Totaal mannen en vrouwen";"18 tot 25 jaar";"Totaal";"Van en naar het werk";"Waarde";"2007*";0,82;11,44
"Totaal mannen en vrouwen";"18 tot 25 jaar";"Totaal";"Van en naar het werk";"Waarde";"2008*";0,83;11,09
"Totaal mannen en vrouwen";"18 tot 25 jaar";"Totaal";"Van en naar het werk";"Waarde";"2009*";0,8;11,11
"Totaal mannen en vrouwen";"18 tot 25 jaar";"Totaal";"Van en naar het werk";"Waarde";"2010*";0,82;11,06
"Totaal mannen en vrouwen";"18 tot 25 jaar";"Totaal";"Van en naar het werk";"Waarde";"2011*";0,8;11,15
"Totaal mannen en vrouwen";"18 tot 25 jaar";"Totaal";"Van en naar het werk";"Waarde";"2012*";0,78;11,22
"Totaal mannen en vrouwen";"18 tot 25 jaar";"Totaal";"Van en naar het werk";"Waarde";"2013*";0,78;11,14
"Totaal mannen en vrouwen";"18 tot 25 jaar";"Totaal";"Van en naar het werk";"Waarde";"2014*";0,77;11,21
"Totaal mannen en vrouwen";"18 tot 25 jaar";"Totaal";"Van en naar het werk";"Waarde";"2015*";0,74;11,23
"Totaal mannen en vrouwen";"18 tot 25 jaar";"Totaal";"Van en naar het werk";"Waarde";"2016*";0,74;11,17
"Totaal mannen en vrouwen";"18 tot 25 jaar";"Totaal";"Van en naar het werk";"Waarde";"2017*";0,75;11,23
"Totaal mannen en vrouwen";"18 tot 25 jaar";"Totaal";"Van en naar het werk";"Waarde";"2018*";0,76;11,12
"Totaal mannen en vrouwen";"18 tot 25 jaar";"Totaal";"Van en naar het werk";"Waarde";"2019*";0,72;11,01
"Totaal mannen en vrouwen";"18 tot 25 jaar";"Totaal";"Van en naar het werk";"Waarde";"2020*";0,5;9,97
"Totaal mannen en vrouwen";"18 tot 25 jaar";"Totaal";"Winkelen, boodschappen doen";"Waarde";"1999*";0,55;5,08
"Totaal mannen en vrouwen";"18 tot 25 jaar";"Totaal";"Winkelen, boodschappen doen";"Waarde";"2000*";0,52;5,05
"Totaal mannen en vrouwen";"18 tot 25 jaar";"Totaal";"Winkelen, boodschappen doen";"Waarde";"2001*";0,53;5,11
"Totaal mannen en vrouwen";"18 tot 25 jaar";"Totaal";"Winkelen, boodschappen doen";"Waarde";"2002*";0,53;5,2
"Totaal mannen en vrouwen";"18 tot 25 jaar";"Totaal";"Winkelen, boodschappen doen";"Waarde";"2003*";0,52;5,25
"Totaal mannen en vrouwen";"18 tot 25 jaar";"Totaal";"Winkelen, boodschappen doen";"Waarde";"2004*";0,52;5,22
"Totaal mannen en vrouwen";"18 tot 25 jaar";"Totaal";"Winkelen, boodschappen doen";"Waarde";"2005*";0,49;5,15
"Totaal mannen en vrouwen";"18 tot 25 jaar";"Totaal";"Winkelen, boodschappen doen";"Waarde";"2006*";0,49;5,11
"Totaal mannen en vrouwen";"18 tot 25 jaar";"Totaal";"Winkelen, boodschappen doen";"Waarde";"2007*";0,47;5,27
"Totaal mannen en vrouwen";"18 tot 25 jaar";"Totaal";"Winkelen, boodschappen doen";"Waarde";"2008*";0,47;5,09
"Totaal mannen en vrouwen";"18 tot 25 jaar";"Totaal";"Winkelen, boodschappen doen";"Waarde";"2009*";0,47;5,16
"Totaal mannen en vrouwen";"18 tot 25 jaar";"Totaal";"Winkelen, boodschappen doen";"Waarde";"2010*";0,48;5,06
"Totaal mannen en vrouwen";"18 tot 25 jaar";"Totaal";"Winkelen, boodschappen doen";"Waarde";"2011*";0,44;5,09
"Totaal mannen en vrouwen";"18 tot 25 jaar";"Totaal";"Winkelen, boodschappen doen";"Waarde";"2012*";0,44;5,03
"Totaal mannen en vrouwen";"18 tot 25 jaar";"Totaal";"Winkelen, boodschappen doen";"Waarde";"2013*";0,44;4,96
"Totaal mannen en vrouwen";"18 tot 25 jaar";"Totaal";"Winkelen, boodschappen doen";"Waarde";"2014*";0,43;4,94
"Totaal mannen en vrouwen";"18 tot 25 jaar";"Totaal";"Winkelen, boodschappen doen";"Waarde";"2015*";0,42;5,07
"Totaal mannen en vrouwen";"18 tot 25 jaar";"Totaal";"Winkelen, boodschappen doen";"Waarde";"2016*";0,41;4,96
"Totaal mannen en vrouwen";"18 tot 25 jaar";"Totaal";"Winkelen, boodschappen doen";"Waarde";"2017*";0,4;4,99
"Totaal mannen en vrouwen";"18 tot 25 jaar";"Totaal";"Winkelen, boodschappen doen";"Waarde";"2018*";0,4;4,95
"Totaal mannen en vrouwen";"18 tot 25 jaar";"Totaal";"Winkelen, boodschappen doen";"Waarde";"2019*";0,38;5,02
"Totaal mannen en vrouwen";"18 tot 25 jaar";"Totaal";"Winkelen, boodschappen doen";"Waarde";"2020*";0,41;3,99
"Totaal mannen en vrouwen";"18 tot 25 jaar";"Totaal";"Onderwijs volgen, cursus, kinderopvang";"Waarde";"1999*";0,72;10,94
"Totaal mannen en vrouwen";"18 tot 25 jaar";"Totaal";"Onderwijs volgen, cursus, kinderopvang";"Waarde";"2000*";0,7;11,13
"Totaal mannen en vrouwen";"18 tot 25 jaar";"Totaal";"Onderwijs volgen, cursus, kinderopvang";"Waarde";"2001*";0,7;11,14
"Totaal mannen en vrouwen";"18 tot 25 jaar";"Totaal";"Onderwijs volgen, cursus, kinderopvang";"Waarde";"2002*";0,7;11,2
"Totaal mannen en vrouwen";"18 tot 25 jaar";"Totaal";"Onderwijs volgen, cursus, kinderopvang";"Waarde";"2003*";0,72;11,04
"Totaal mannen en vrouwen";"18 tot 25 jaar";"Totaal";"Onderwijs volgen, cursus, kinderopvang";"Waarde";"2004*";0,75;10,9
"Totaal mannen en vrouwen";"18 tot 25 jaar";"Totaal";"Onderwijs volgen, cursus, kinderopvang";"Waarde";"2005*";0,79;10,67
"Totaal mannen en vrouwen";"18 tot 25 jaar";"Totaal";"Onderwijs volgen, cursus, kinderopvang";"Waarde";"2006*";0,82;10,38
"Totaal mannen en vrouwen";"18 tot 25 jaar";"Totaal";"Onderwijs volgen, cursus, kinderopvang";"Waarde";"2007*";0,82;10,39
"Totaal mannen en vrouwen";"18 tot 25 jaar";"Totaal";"Onderwijs volgen, cursus, kinderopvang";"Waarde";"2008*";0,83;10,35
"Totaal mannen en vrouwen";"18 tot 25 jaar";"Totaal";"Onderwijs volgen, cursus, kinderopvang";"Waarde";"2009*";0,84;10,3
"Totaal mannen en vrouwen";"18 tot 25 jaar";"Totaal";"Onderwijs volgen, cursus, kinderopvang";"Waarde";"2010*";0,87;10,01
"Totaal mannen en vrouwen";"18 tot 25 jaar";"Totaal";"Onderwijs volgen, cursus, kinderopvang";"Waarde";"2011*";0,87;10,06
"Totaal mannen en vrouwen";"18 tot 25 jaar";"Totaal";"Onderwijs volgen, cursus, kinderopvang";"Waarde";"2012*";0,85;10,27
"Totaal mannen en vrouwen";"18 tot 25 jaar";"Totaal";"Onderwijs volgen, cursus, kinderopvang";"Waarde";"2013*";0,87;10,06
"Totaal mannen en vrouwen";"18 tot 25 jaar";"Totaal";"Onderwijs volgen, cursus, kinderopvang";"Waarde";"2014*";0,88;10,15
"Totaal mannen en vrouwen";"18 tot 25 jaar";"Totaal";"Onderwijs volgen, cursus, kinderopvang";"Waarde";"2015*";0,9;10,16
"Totaal mannen en vrouwen";"18 tot 25 jaar";"Totaal";"Onderwijs volgen, cursus, kinderopvang";"Waarde";"2016*";0,9;10,02
"Totaal mannen en vrouwen";"18 tot 25 jaar";"Totaal";"Onderwijs volgen, cursus, kinderopvang";"Waarde";"2017*";0,88;9,98
"Totaal mannen en vrouwen";"18 tot 25 jaar";"Totaal";"Onderwijs volgen, cursus, kinderopvang";"Waarde";"2018*";0,89;9,99
"Totaal mannen en vrouwen";"18 tot 25 jaar";"Totaal";"Onderwijs volgen, cursus, kinderopvang";"Waarde";"2019*";0,9;9,86
"Totaal mannen en vrouwen";"18 tot 25 jaar";"Totaal";"Onderwijs volgen, cursus, kinderopvang";"Waarde";"2020*";0,46;9,57
"Totaal mannen en vrouwen";"18 tot 25 jaar";"Totaal";"Overige reismotieven";"Waarde";"1999*";1,74;11,73
"Totaal mannen en vrouwen";"18 tot 25 jaar";"Totaal";"Overige reismotieven";"Waarde";"2000*";1,7;11,77
"Totaal mannen en vrouwen";"18 tot 25 jaar";"Totaal";"Overige reismotieven";"Waarde";"2001*";1,66;11,86
"Totaal mannen en vrouwen";"18 tot 25 jaar";"Totaal";"Overige reismotieven";"Waarde";"2002*";1,66;11,89
"Totaal mannen en vrouwen";"18 tot 25 jaar";"Totaal";"Overige reismotieven";"Waarde";"2003*";1,68;11,92
"Totaal mannen en vrouwen";"18 tot 25 jaar";"Totaal";"Overige reismotieven";"Waarde";"2004*";1,66;11,93
"Totaal mannen en vrouwen";"18 tot 25 jaar";"Totaal";"Overige reismotieven";"Waarde";"2005*";1,62;11,85
"Totaal mannen en vrouwen";"18 tot 25 jaar";"Totaal";"Overige reismotieven";"Waarde";"2006*";1,61;11,79
"Totaal mannen en vrouwen";"18 tot 25 jaar";"Totaal";"Overige reismotieven";"Waarde";"2007*";1,6;11,78
"Totaal mannen en vrouwen";"18 tot 25 jaar";"Totaal";"Overige reismotieven";"Waarde";"2008*";1,55;11,77
"Totaal mannen en vrouwen";"18 tot 25 jaar";"Totaal";"Overige reismotieven";"Waarde";"2009*";1,61;11,69
"Totaal mannen en vrouwen";"18 tot 25 jaar";"Totaal";"Overige reismotieven";"Waarde";"2010*";1,57;11,68
"Totaal mannen en vrouwen";"18 tot 25 jaar";"Totaal";"Overige reismotieven";"Waarde";"2011*";1,52;11,94
"Totaal mannen en vrouwen";"18 tot 25 jaar";"Totaal";"Overige reismotieven";"Waarde";"2012*";1,55;11,81
"Totaal mannen en vrouwen";"18 tot 25 jaar";"Totaal";"Overige reismotieven";"Waarde";"2013*";1,55;11,9
"Totaal mannen en vrouwen";"18 tot 25 jaar";"Totaal";"Overige reismotieven";"Waarde";"2014*";1,56;11,81
"Totaal mannen en vrouwen";"18 tot 25 jaar";"Totaal";"Overige reismotieven";"Waarde";"2015*";1,47;11,93
"Totaal mannen en vrouwen";"18 tot 25 jaar";"Totaal";"Overige reismotieven";"Waarde";"2016*";1,45;11,95
"Totaal mannen en vrouwen";"18 tot 25 jaar";"Totaal";"Overige reismotieven";"Waarde";"2017*";1,4;12,01
"Totaal mannen en vrouwen";"18 tot 25 jaar";"Totaal";"Overige reismotieven";"Waarde";"2018*";1,44;11,79
"Totaal mannen en vrouwen";"18 tot 25 jaar";"Totaal";"Overige reismotieven";"Waarde";"2019*";1,4;11,91
"Totaal mannen en vrouwen";"18 tot 25 jaar";"Totaal";"Overige reismotieven";"Waarde";"2020*";1,2;10,23
"Totaal mannen en vrouwen";"18 tot 25 jaar";"Auto (bestuurder)";"Totaal";"Waarde";"1999*";0,88;15,27
"Totaal mannen en vrouwen";"18 tot 25 jaar";"Auto (bestuurder)";"Totaal";"Waarde";"2000*";0,87;15,45
"Totaal mannen en vrouwen";"18 tot 25 jaar";"Auto (bestuurder)";"Totaal";"Waarde";"2001*";0,87;15,57
"Totaal mannen en vrouwen";"18 tot 25 jaar";"Auto (bestuurder)";"Totaal";"Waarde";"2002*";0,89;15,59
